"","species","step1","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC","dAIC"
"1","B. auricomus",1,"",NA,NA,6346,62719.64,62719.64,1.63
"2","B. auricomus",2,"summerSPI",1,1.63,6347,62718,62718,0
"3","B. bimaculatus",1,"",NA,NA,31541,315191.54,315191.54,0
"4","B. borealis",1,"",NA,NA,5323,53299.73,53299.73,1.56
"5","B. borealis",2,"GDD5diff",1,1.56,5324,53298.18,53298.18,0
"6","B. fervidus",1,"",NA,NA,6743,69415.68,69415.68,0
"7","B. fraternus",1,"",NA,NA,1057,11620.3,11620.3,3.75
"8","B. fraternus",2,"avgSummerPrecip",1,1.94,1058,11618.35,11618.35,1.8
"9","B. fraternus",3,"GDD5diff",1,0.94,1059,11617.41,11617.41,0.86
"10","B. fraternus",4,"avgGDD5",1,0.58,1060,11616.83,11616.83,0.28
"11","B. fraternus",5,"summerSPI",1,0.28,1061,11616.55,11616.55,0
"12","B. griseocollis",1,"",NA,NA,40381,409908.07,409908.07,0
"13","B. impatiens",1,"",NA,NA,107612,1136521.8,1136521.8,0.11
"14","B. impatiens",2,"avgSummerPrecip",1,0.11,107613,1136521.69,1136521.69,0
"15","B. pensylvanicus",1,"",NA,NA,11489,122007.56,122007.56,3.73
"16","B. pensylvanicus",2,"GDD5diff",1,1.94,11490,122005.62,122005.62,1.79
"17","B. pensylvanicus",3,"summerSPI",1,1.79,11491,122003.84,122003.84,0
"18","B. perplexus",1,"",NA,NA,7501,73212.77,73212.77,1.54
"19","B. perplexus",2,"avgSummerPrecip",1,1.54,7502,73211.23,73211.23,0
"20","B. rufocinctus",1,"",NA,NA,8500,85814.95,85814.95,3
"21","B. rufocinctus",2,"GDD5diff",1,1.75,8501,85813.2,85813.2,1.25
"22","B. rufocinctus",3,"avgSummerPrecip",1,1.25,8502,85811.95,85811.95,0
"23","B. sandersoni",1,"",NA,NA,911,9200.33,9200.33,1.99
"24","B. sandersoni",2,"GDD5diff",1,1.99,912,9198.34,9198.34,0
"25","B. ternarius",1,"",NA,NA,16310,173224.7,173224.7,0
"26","B. terricola",1,"",NA,NA,5493,53937.33,53937.33,0.72
"27","B. terricola",2,"avgSummerPrecip",1,0.72,5494,53936.61,53936.61,0
"28","B. vagans",1,"",NA,NA,8297,85595.99,85595.99,1.93
"29","B. vagans",2,"avgGDD5",1,1.93,8298,85594.06,85594.06,0
