,species,(Intercept)_onset,avgGDD5_onset,GDD5diff_onset,avgWinterPrecip_onset,winterSPI_onset,(Intercept)_end,avgGDD5_end,GDD5diff_end,avgSummerPrecip_end,summerSPI_end
1,auricomus,157.24±0.91,-5.83±1.4,-3.13±0.99,-2.7±1.57,-2.09±0.84,228.66±0.62,-6.44±0.73,-2.85±0.56,-0.43±0.66,NA
2,bimaculatus,121.41±0.4,-13.13±0.36,-3.56±0.41,-4.42±0.43,0.32±0.33,206.42±0.2,-12.81±0.25,-2.86±0.16,0.47±0.22,-0.21±0.2
3,borealis,165.39±0.68,-4.67±0.78,-1.03±0.58,1.26±0.78,2.25±0.59,241.19±0.71,-1.85±0.59,NA,1.57±0.71,0.88±0.68
4,fervidus,152.25±0.81,-4.32±0.92,-2.6±0.85,-2.56±0.8,1.18±0.74,249.74±0.57,-4.59±0.55,-3.68±0.59,-2.89±0.56,-0.6±0.67
5,fraternus,137.65±3.32,-21.81±3.13,NA,NA,-3.08±3.05,269±1.4,NA,NA,NA,NA
6,griseocollis,150.76±0.39,-13.47±0.4,-4.12±0.34,-3.12±0.42,-0.77±0.33,226.27±0.24,-9.22±0.28,-3.45±0.27,-0.68±0.31,-1.08±0.25
7,impatiens,158.97±0.39,-1.8±0.39,NA,-1.63±0.45,0.98±0.42,280.48±0.14,7.06±0.11,1.82±0.17,NA,0.85±0.14
8,pensylvanicus,141.81±1.11,-16.47±1.1,-4.58±0.92,NA,2.58±0.87,270.24±0.45,6.01±0.96,NA,2.63±0.88,NA
9,perplexus,143.83±1.29,-5±1.24,-3.3±1.17,-1.63±0.89,3.98±1.15,216.44±0.36,-9.49±0.39,-2.7±0.31,NA,-1.27±0.32
10,rufocinctus,163.34±0.63,1.16±0.57,-4.02±0.59,1.8±0.59,0.5±0.56,242.59±0.59,-4.55±0.56,NA,NA,0.48±0.58
11,sandersoni,144.37±1.47,-14.37±1.75,NA,NA,4.35±1.26,225.31±1.6,-3.63±1.59,NA,-1.75±1,2.2±1.42
12,ternarius,142.58±0.49,-7.49±0.56,-2.73±0.53,-1.75±0.54,1.43±0.54,261.34±0.51,-0.62±0.56,-0.6±0.48,4.38±0.51,3.58±0.4
13,terricola,156.52±1.48,-4.54±1.68,-1.21±1.35,NA,5.17±1.3,229.35±0.59,-2.62±0.53,-4.39±0.49,NA,-1.26±0.57
14,vagans,163.43±0.91,-2.49±0.88,-2.65±0.81,-3.37±0.85,3.59±0.84,252.33±0.67,NA,-4.88±0.62,2.94±0.68,0.52±0.6
