"species","intercept","avgGDD5","avgSummerPrecip","GDD5diff","summerSPI","df","logLik","AICc","delta","weight"
"auricomus",228.660343127108,-6.4401279263075,-0.426386256486318,-2.84844891205138,NA,4,-31355.0019187408,62718.0101406646,0,0.45484868406272
"bimaculatus",206.423925930531,-12.8146132661636,0.467522319393201,-2.85641587188485,-0.213480689611252,5,-157590.768348163,315191.538598671,0,0.634780820100878
"borealis",241.194639639113,-1.84802114390133,1.5712546144277,NA,0.878342423328681,4,-26645.0880035315,53298.1835216225,0,0.594096567283155
"fervidus",249.737122068309,-4.58838562679741,-2.88929039681625,-3.68076570746869,-0.598720152473938,5,-34702.8390732573,69415.687045951,0,0.654511096943821
"fraternus",269,NA,NA,NA,NA,1,-5807.2742830329,11616.5523396507,0,0.14071931615439
"griseocollis",226.268072059127,-9.22345952120281,-0.684878364286552,-3.44699517085046,-1.07659257810126,5,-204949.037344528,409908.076174941,0,0.999406790556533
"impatiens",280.479962297022,7.06380286914314,NA,1.81701625219409,0.854123894720984,4,-568256.84478212,1136521.68993594,0,0.514040269314067
"pensylvanicus",270.237902531842,6.01142783505755,2.62753462891538,NA,NA,3,-60998.9176472374,122003.837383248,0,0.514794178019604
"perplexus",216.440200895808,-9.48859603792202,NA,-2.70204656028615,-1.26589096903702,4,-36601.6167231835,73211.2387789893,0,0.683523312649149
"rufocinctus",242.590722049375,-4.5466668924082,NA,NA,0.483271684865163,3,-42902.9742291948,85811.9512815869,0,0.254125754104021
"sandersoni",225.311917418701,-3.628988905933,-1.75121863201141,NA,2.20410909674336,4,-4595.16938412624,9198.38267604611,0,0.604134615566426
"ternarius",261.344700126959,-0.617826167395681,4.38441024747806,-0.597107571371777,3.57611853840514,5,-86607.3515847471,173224.706848444,0,0.513685100679183
"terricola",229.347787891758,-2.61921850014272,NA,-4.38873693374079,-1.25752526101708,4,-26964.3069794404,53936.6212408761,0,0.588401498935114
"vagans",252.328221786329,NA,2.93609079604411,-4.88249386612339,0.519689713983164,4,-42793.0287383744,85594.0622977684,0,0.419740612089764
