"species","intercept","avgGDD5","avgWinterPrecip","GDD5diff","winterSPI","df","logLik","AICc","delta","weight"
"auricomus",157.240352004588,-5.83225223663493,-2.69933551084296,-3.12655303011838,-2.08615401611182,5,-32672.6400436958,65355.2895436563,0,0.989684188630624
"bimaculatus",121.406531572688,-13.1269938556707,-4.41852459048446,-3.56287164118434,0.320842885648794,5,-165351.619534525,330713.240971397,0,0.567134873612702
"borealis",165.385809850049,-4.6735378970581,1.2569333826267,-1.02634549856915,2.24754248515859,5,-26896.6305251645,53803.2723242861,0,0.900214890187987
"fervidus",152.247515597605,-4.32042963959118,-2.56052631379816,-2.59746347560364,1.18331718957238,5,-36049.2954703224,72108.5998400812,0,0.911354246317027
"fraternus",137.652668738191,-21.8134394730464,NA,NA,-3.08452003672062,3,-5932.90284060314,11871.8283655163,0,0.209117500335595
"griseocollis",150.756041550786,-13.4660945474163,-3.12417609323044,-4.11590983032896,-0.765498997795774,5,-209985.857081802,419981.715649487,0,0.999700606944009
"impatiens",158.972239654609,-1.80027374945445,-1.62730360816179,NA,0.976334994440762,4,-610142.168613223,1220292.33759815,0,0.648717724318662
"pensylvanicus",141.807080729389,-16.4727980534046,NA,-4.57790355865439,2.58158955950968,4,-65229.8254277749,130467.654337141,0,0.671774080249153
"perplexus",143.829143537775,-5.0044100603445,-1.63473441784239,-3.30429935916679,3.97966042248765,5,-39462.9764299172,78935.9608598343,0,0.992725684467502
"rufocinctus",163.337431500062,1.15659713422519,1.79723708203281,-4.02016362544726,0.496164275017816,5,-43862.8775658382,87735.7621913305,0,0.610707571610519
"sandersoni",144.367016961292,-14.3661714170791,NA,NA,4.34676893504138,3,-4685.46443149992,9376.95517878931,0,0.386269131186999
"ternarius",142.584160673704,-7.49137494012663,-1.75117557834133,-2.72933722201364,1.43218272147869,5,-89218.3764873356,178446.756653621,0,0.999659097277138
"terricola",156.516758599148,-4.54202559851568,NA,-1.20978046518086,5.17111222171479,4,-28824.1908342675,57656.3889505303,0,0.513157091049725
"vagans",163.429909899824,-2.49318301419291,-3.36738672222143,-2.65074193027095,3.58597766864511,5,-43487.7502473679,86985.5077271369,0,0.999999819415134
"auricomus",157.240352004588,-5.83225223663493,-2.69933551084296,-3.12655303011838,-2.08615401611182,5,-32672.6400436958,65355.2895436563,0,0.989684188630624
"bimaculatus",121.406531572688,-13.1269938556707,-4.41852459048446,-3.56287164118434,0.320842885648794,5,-165351.619534525,330713.240971397,0,0.567134873612702
"borealis",165.385809850049,-4.6735378970581,1.2569333826267,-1.02634549856915,2.24754248515859,5,-26896.6305251645,53803.2723242861,0,0.900214890187987
"fervidus",152.247515597605,-4.32042963959118,-2.56052631379816,-2.59746347560364,1.18331718957238,5,-36049.2954703224,72108.5998400812,0,0.911354246317027
"fraternus",137.652668738191,-21.8134394730464,NA,NA,-3.08452003672062,3,-5932.90284060314,11871.8283655163,0,0.209117500335595
"griseocollis",150.756041550786,-13.4660945474163,-3.12417609323044,-4.11590983032896,-0.765498997795774,5,-209985.857081802,419981.715649487,0,0.999700606944009
"impatiens",158.972239654609,-1.80027374945445,-1.62730360816179,NA,0.976334994440762,4,-610142.168613223,1220292.33759815,0,0.648717724318662
"pensylvanicus",141.807080729389,-16.4727980534046,NA,-4.57790355865439,2.58158955950968,4,-65229.8254277749,130467.654337141,0,0.671774080249153
"perplexus",143.829143537775,-5.0044100603445,-1.63473441784239,-3.30429935916679,3.97966042248765,5,-39462.9764299172,78935.9608598343,0,0.992725684467502
"rufocinctus",163.337431500062,1.15659713422519,1.79723708203281,-4.02016362544726,0.496164275017816,5,-43862.8775658382,87735.7621913305,0,0.610707571610519
"sandersoni",144.367016961292,-14.3661714170791,NA,NA,4.34676893504138,3,-4685.46443149992,9376.95517878931,0,0.386269131186999
"ternarius",142.584160673704,-7.49137494012663,-1.75117557834133,-2.72933722201364,1.43218272147869,5,-89218.3764873356,178446.756653621,0,0.999659097277138
"terricola",156.516758599148,-4.54202559851568,NA,-1.20978046518086,5.17111222171479,4,-28824.1908342675,57656.3889505303,0,0.513157091049725
"vagans",163.429909899824,-2.49318301419291,-3.36738672222143,-2.65074193027095,3.58597766864511,5,-43487.7502473679,86985.5077271369,0,0.999999819415134
