"species","term_onset","term_end","estimate_onset","estimate_end","SE_onset","SE_end","estimate_dFPD","SE_dFPD"
"auricomus","yearGDD5","yearGDD5",-0.0161878406191463,-0.0147749043324944,0.00232584683043164,0.00116393500838032,0.0014129362866519,0.00260082836464889
"bimaculatus","yearGDD5","yearGDD5",-0.0215992647058823,-0.0187225013261772,0.000418616947986058,0.000392931231339895,0.0028767633797051,0.000574138573606972
"borealis","yearGDD5","avgGDD5",-0.0163809107786393,-0.00663140300228585,0.00256079426476292,0.00250276824575881,0.00974950777635345,0.00358071447597003
"fervidus","yearGDD5","yearGDD5",-0.0102853448529196,-0.0127299344408376,0.00196204241143128,0.00104589571931692,-0.002444589587918,0.00222340016190081
"fraternus","avgGDD5","null",-0.0270065987632031,0,0.00355008196883364,0,0.0270065987632031,0.00355008196883364
"griseocollis","yearGDD5","yearGDD5",-0.0228919386038207,-0.015236760207677,0.000590933516447717,0.00038152157189737,0.0076551783961437,0.000703392586458163
"impatiens","avgGDD5","yearGDD5",-0.00271469521954433,0.00892586598516895,0.000446786887536103,0.000156149507737287,0.0116405612047133,0.000473287641546655
"pensylvanicus","yearGDD5","avgGDD5",-0.0152802443591731,0.00712240363217541,0.000844972015836211,0.000330747820612784,0.0224026479913485,0.000907398384606462
"perplexus","yearGDD5","yearGDD5",-0.0120903633758713,-0.0176315339985565,0.00202417977276915,0.000787490918741147,-0.0055411706226852,0.00217196816265514
"rufocinctus","yearGDD5","avgGDD5",-0.00290273655488711,-0.0141145976747203,0.00198708340905752,0.00163521856202699,-0.0112118611198332,0.00257341023160888
"sandersoni","yearGDD5","avgGDD5",-0.0278791199811576,-0.00768171272801404,0.00310707621187542,0.00290688803264337,0.0201974072531436,0.00425487022372332
"ternarius","yearGDD5","avgGDD5",-0.0291795678181789,0.00202018578525449,0.00189863364818382,0.00268746534839963,0.0311997536034334,0.00329048320598427
"terricola","yearGDD5","yearGDD5",-0.0141689218867336,-0.0122636062156044,0.00444280279073078,0.00182511975065609,0.0019053156711292,0.00480307804866423
"vagans","yearGDD5","yearGDD5",-0.00506598444742772,-0.00433847321896639,0.00156385746597683,0.00179715059130799,0.00072751122846133,0.00238230989204388
